Target,Tweet,Stance
climate change,Climate change is a hoax made up to control us.,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
Donald Trump,I don’t really care who’s president.,NONE
climate change,We must act immediately to combat climate change.,FAVOR
climate change,I just enjoy sunny days.,NONE
Atheism,Moral relativism does not feed into democracy but rather it feeds into chaos #Catholic #Christian #liberal #progressive #secularist #SemST,AGAINST
Legalization of Abortion,Where is the childcare program @joanburton which you said would be in place? #loneparents #7istooyoung #SemST,AGAINST
Donald Trump,Politics are confusing these days.,NONE
Hillary Clinton,"I think marriage is as it has always been, between a man and a woman. - @HillaryClinton  #MarriageEquaility #justsaying #SemST",AGAINST
Legalization of Abortion,If it's not a person then why do women get invitro? To have a gold fish? #SemST,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
climate change,Climate change is a hoax made up to control us.,AGAINST
Donald Trump,I don’t really care who’s president.,NONE
climate change,There is no solid proof that climate change is real.,AGAINST
Feminist Movement,@Nero the 'author' is @onepoundstories she's making money out of it #SemST,NONE
Hillary Clinton,.@thedailybeast such a waste of space #CrackingCeilings #SemST,NONE
Atheism,You'll never know how much God can do in your life until you ask.  #lifechangingJourneywithJesus #SemST,AGAINST
Atheism,Your word has given me life -Ps. 119:49-50 #SemST,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Atheism,"@vicgreenaway so, why doesn't a hot air balloon pilot look down to horizon as he rises, rather than horizon being ALWAYS eye level? #SemST",NONE
Feminist Movement,Today's roundup of pro-circ trolls: @cbpolis @AnimalRightsJen @ynkutner @DrJohnChisholm @monaeltahawy @hibowardere #i2 #SemST,NONE
Hillary Clinton,@Reince Hardly a hard-hitting interview like with GOP candidates. Did CNN preclear its questions with her campaign in advance?? #SemST,NONE
Donald Trump,Donald Trump is making America great again!,FAVOR
Atheism,"The humble trust in God: 'Whoever leans on, trusts in, and is confident in the Lord  happy, blessed, and fortunate is he' #SemST",AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Hillary Clinton,We stand with the great #Baltimore mayor! Fire all the Crooks in Uniform! @MayorSRB #FreddieGray #hannity @donlemon #BlueWall #SemST,NONE
