Tweet,Target,Stance
... need build attractions outside casinos .... attractions bigger better atlantic ocean beaches. locales shore experience sufficient sustain viable local economy. perhaps emphasis gambling family friendly environment led unsustainable business model occurred meadowlands horse track. casinos panacea decline aging urban areas,a gamble,FAVOR
unemployment leads poverty domestic abuse homelessness addiction. ... gambling n't. couple questions past experience show modern casinos strengthen town 's existing businesses rather bring competition drives business. percent local unemployed people offered good casino jobs pay well great benefits. costs living casino community. drugs. crime. prostitution. whole country still recover financial meltdown result wholesale buy something nothing investment scam. contribution rebuilding effort casinos,a gamble,FAVOR
casino replace eagle new symbol america. wait make casino really big army. anyone truly think business designed churn money skim top social value economy recently created value making things. oh wait 'm thinking wall street. 're discussing casinos. well guess say casinos really fun way pay stupidity taxes. yes 's. money disappears like cat watch shiny things go around circles bat. 's testament far 've come 're willing call employing dealers bouncers boon economy. yes even areas moon shining still considered career choice,a gamble,NEUTRAL
push casinos demonstrates lack imagination forethought politicians. casinos wave future regressive every respect. surely state senator creative forward thinking solution unemployment. surely state senator respect constituents suggest something elevates district bringing sustainable development relies educated sophisticated populace protecting cultural natural resources area ny. suggestion home prices go due introduction casinos absurd substantiated atlantic city eastern connecticut areas legalized gambling,a gamble,NEUTRAL
casino taxes development revenue city 's three casinos generate 11 million month detroit. revenue come. thin air. writer know negative sum game even zero sum game. every dollar city takes sure casino operators take least five. people spend money overwhelmingly ca n't afford 11 million get back services less lost first place. end day casino ends making new product service escapist entertainment. say casino puts money back community. bet. see piece professor simon atlantic city. maybe money come thin air -- canadians non detroiters. well 's great. go paul. sorry peter,a gamble,NEUTRAL
casino taxes development revenue city 's three casinos generate 11 million month detroit. revenue come. thin air. writer know negative sum game even zero sum game. every dollar city takes sure casino operators take least five. people spend money overwhelmingly ca n't afford 11 million get back services less lost first place. end day casino ends making new product service escapist entertainment. say casino puts money back community. bet. see piece professor simon atlantic city. maybe money come thin air -- canadians non detroiters. well 's great. go paul. sorry peter,a gamble,NEUTRAL
casino taxes development revenue city 's three casinos generate 11 million month detroit. revenue come. thin air. writer know negative sum game even zero sum game. every dollar city takes sure casino operators take least five. people spend money overwhelmingly ca n't afford 11 million get back services less lost first place. end day casino ends making new product service escapist entertainment. say casino puts money back community. bet. see piece professor simon atlantic city. maybe money come thin air -- canadians non detroiters. well 's great. go paul. sorry peter,a gamble,NEUTRAL
gambling addictive sends terrible message future generations. social coasts never calculated. root gambling 's appeal greed. short term fix quickly blooms rapidly fades. resources would put far better use educational opportunities,a gamble,NEUTRAL
casino replace eagle new symbol america. wait make casino really big army. anyone truly think business designed churn money skim top social value economy recently created value making things. oh wait 'm thinking wall street. 're discussing casinos. well guess say casinos really fun way pay stupidity taxes. yes 's. money disappears like cat watch shiny things go around circles bat. 's testament far 've come 're willing call employing dealers bouncers boon economy. yes even areas moon shining still considered career choice,a gamble,FAVOR
wealth money. wealth hamburgers cars buildings things need live. build casino 's simply transfer money one person establishment creating anything. simply taking advantage frailties human condition rob people. caution however ... everything consequences build casinos invite debt terms social payments newly poor dumped life savings black holes. misery caused also real effect government seems oblivious misery caused. seems work perfect,a gamble,FAVOR
