Tweet,Target,Stance
mainstream architecture general problem along ugly alliance real estate capital. real estate wants cheap big. architects provide self interested happiness deluding way build curtain walls skins ribbons pilotis anti contextual nihilism bits painfully idiotic dogma modernist movement alas dead although ought. even nuttier architecture profession obsessed dated hegelian notion trying produce architecture time goal examined utter nonsense hubristic posturing. meanwhile load bearing masonry city barely survives attacks alliance produced. ordinary people whol live bear loss,` starchitects,FAVOR
unacknowledged advantage privileging starchitects '' local talents first come set standards rigorous vocabulary name prevail compromises usually inherent developer driven culture cost cuts value engineering client 's taste etc. whatever could damage project design phase actual built outcome. one looks objectively disregarding personal taste whether gehry nouvel isozaki building new york stand impeccably executed architecture. relate context see formal empathy beekman tower woolworth building instance creating new one context either weak lacks character. welcomed fad reinstates lost edge new york subliminally educates developers taste local crop professional talents. afraid ...,` starchitects,FAVOR
living era individuals ego trumps everything. today glorify money fame allow individuals glorify clients average pedestrian must increasingly suffer unfriendly streets wall like façades protecting elites inside forbidding store fronts keeping riff raff luxury stores creating bleak streets business. 'm liberal elitist fan modernism modern facades. 'm sure solution bet one hundred years rue day destroyed livability proportion replace monstrosities user friendly edifices similar ones destroyed make way monstrosities,` starchitects,NEUTRAL
"left nyc many years ago eventually came live city 40,000 generosity patron secured talents mid 20th century starchitects prominent firms. today small city architectural treasures international destination interested architecture. large cities else find collection work saarinen venturi pei meier polshek stern s.o.m. pelli weese gwathmy barnes architects collaborative sculptors like henry moore jon tinguely chihuli. obviously none local",` starchitects,AGAINST
"left nyc many years ago eventually came live city 40,000 generosity patron secured talents mid 20th century starchitects prominent firms. today small city architectural treasures international destination interested architecture. large cities else find collection work saarinen venturi pei meier polshek stern s.o.m. pelli weese gwathmy barnes architects collaborative sculptors like henry moore jon tinguely chihuli. obviously none local",` starchitects,AGAINST
"left nyc many years ago eventually came live city 40,000 generosity patron secured talents mid 20th century starchitects prominent firms. today small city architectural treasures international destination interested architecture. large cities else find collection work saarinen venturi pei meier polshek stern s.o.m. pelli weese gwathmy barnes architects collaborative sculptors like henry moore jon tinguely chihuli. obviously none local",` starchitects,AGAINST
unacknowledged advantage privileging starchitects '' local talents first come set standards rigorous vocabulary name prevail compromises usually inherent developer driven culture cost cuts value engineering client 's taste etc. whatever could damage project design phase actual built outcome. one looks objectively disregarding personal taste whether gehry nouvel isozaki building new york stand impeccably executed architecture. relate context see formal empathy beekman tower woolworth building instance creating new one context either weak lacks character. welcomed fad reinstates lost edge new york subliminally educates developers taste local crop professional talents. afraid ...,` starchitects,NEUTRAL
unacknowledged advantage privileging starchitects '' local talents first come set standards rigorous vocabulary name prevail compromises usually inherent developer driven culture cost cuts value engineering client 's taste etc. whatever could damage project design phase actual built outcome. one looks objectively disregarding personal taste whether gehry nouvel isozaki building new york stand impeccably executed architecture. relate context see formal empathy beekman tower woolworth building instance creating new one context either weak lacks character. welcomed fad reinstates lost edge new york subliminally educates developers taste local crop professional talents. afraid ...,` starchitects,NEUTRAL
living era individuals ego trumps everything. today glorify money fame allow individuals glorify clients average pedestrian must increasingly suffer unfriendly streets wall like façades protecting elites inside forbidding store fronts keeping riff raff luxury stores creating bleak streets business. 'm liberal elitist fan modernism modern facades. 'm sure solution bet one hundred years rue day destroyed livability proportion replace monstrosities user friendly edifices similar ones destroyed make way monstrosities,` starchitects,NEUTRAL
"left nyc many years ago eventually came live city 40,000 generosity patron secured talents mid 20th century starchitects prominent firms. today small city architectural treasures international destination interested architecture. large cities else find collection work saarinen venturi pei meier polshek stern s.o.m. pelli weese gwathmy barnes architects collaborative sculptors like henry moore jon tinguely chihuli. obviously none local",` starchitects,FAVOR
