Tweet,Target,Stance
sorry n't buy. robert l. dupont profits reforming addicts testing course wants us believe rheoretic. know dozens people smoke marijuana one heroin addict mix. guess logic say milk gateway vodka,a gateway drug,NEUTRAL
waste time article nyt. expect better facts causation analysis correlation analysis logic. would imagine heroin addicts drank water time becoming heron addicts. high correlation let 's outlaw water,a gateway drug,NEUTRAL
waste time article nyt. expect better facts causation analysis correlation analysis logic. would imagine heroin addicts drank water time becoming heron addicts. high correlation let 's outlaw water,a gateway drug,NEUTRAL
sorry n't buy. robert l. dupont profits reforming addicts testing course wants us believe rheoretic. know dozens people smoke marijuana one heroin addict mix. guess logic say milk gateway vodka,a gateway drug,NEUTRAL
sorry n't buy. robert l. dupont profits reforming addicts testing course wants us believe rheoretic. know dozens people smoke marijuana one heroin addict mix. guess logic say milk gateway vodka,a gateway drug,AGAINST
people addicted marijuana three times likely addicted heroin. since thing addiction marijuana total nonsense. know people smoke 5 6 joints day every single day go without 4 week vacation overseas without missing bit. neither cigarette smokers heroin addicts. legalization marijuana increases availability drug acceptability use. problem availability marijuana without legalization. anyone wants get within 2 hours right nyc,a gateway drug,FAVOR
waste time article nyt. expect better facts causation analysis correlation analysis logic. would imagine heroin addicts drank water time becoming heron addicts. high correlation let 's outlaw water,a gateway drug,NEUTRAL
waste time article nyt. expect better facts causation analysis correlation analysis logic. would imagine heroin addicts drank water time becoming heron addicts. high correlation let 's outlaw water,a gateway drug,NEUTRAL
sorry n't buy. robert l. dupont profits reforming addicts testing course wants us believe rheoretic. know dozens people smoke marijuana one heroin addict mix. guess logic say milk gateway vodka,a gateway drug,NEUTRAL
sorry n't buy. robert l. dupont profits reforming addicts testing course wants us believe rheoretic. know dozens people smoke marijuana one heroin addict mix. guess logic say milk gateway vodka,a gateway drug,NEUTRAL
smoked martijuana adult life never desire try another drug. drink smoke cigarettes. none people know one smoke joint inclination toward using harder drugs. 've never tried pot brownies perhaps 'd like better smoking good lungs. sense people use hard drugs predisposed use pushed along toking pipe mary jane. feel strongly commentaries written people positions affecting laws mislead turn much harm good,a gateway drug,AGAINST
cannabis used middle east time hebrew prophets. phoenician shipwreck dating 1400 bc found eastern mediterranean cargo olive oil cannabis amphoras. phoenicians traded close neighbors hebrews says bible king hiram tyre traded king solomon cedars temple jerusalem. phoenicians hebrews. far fetched assume prophets may used cannabis gain insights help connect god. following logic good christian consume cannabis thus become closer god,a gateway drug,FAVOR
wow war drugs. people smoking marijuana ten thousand years outlawed 1930s. outlawed. short answer complex question randolph hearst owned timber wanted sell newspaper pulp main competitor. hemp marijuana funded campaign end legal product us. see drug war ended. reasoning could applied breast milk people became addicts. view addiction simply person 's chemistry susceptible people. tell disagree entirely thesis although like alcohol. us army 1969 1971/california jd,a gateway drug,NEUTRAL
wow war drugs. people smoking marijuana ten thousand years outlawed 1930s. outlawed. short answer complex question randolph hearst owned timber wanted sell newspaper pulp main competitor. hemp marijuana funded campaign end legal product us. see drug war ended. reasoning could applied breast milk people became addicts. view addiction simply person 's chemistry susceptible people. tell disagree entirely thesis although like alcohol. us army 1969 1971/california jd,a gateway drug,NEUTRAL
wow war drugs. people smoking marijuana ten thousand years outlawed 1930s. outlawed. short answer complex question randolph hearst owned timber wanted sell newspaper pulp main competitor. hemp marijuana funded campaign end legal product us. see drug war ended. reasoning could applied breast milk people became addicts. view addiction simply person 's chemistry susceptible people. tell disagree entirely thesis although like alcohol. us army 1969 1971/california jd,a gateway drug,AGAINST
wow war drugs. people smoking marijuana ten thousand years outlawed 1930s. outlawed. short answer complex question randolph hearst owned timber wanted sell newspaper pulp main competitor. hemp marijuana funded campaign end legal product us. see drug war ended. reasoning could applied breast milk people became addicts. view addiction simply person 's chemistry susceptible people. tell disagree entirely thesis although like alcohol. us army 1969 1971/california jd,a gateway drug,AGAINST
wow war drugs. people smoking marijuana ten thousand years outlawed 1930s. outlawed. short answer complex question randolph hearst owned timber wanted sell newspaper pulp main competitor. hemp marijuana funded campaign end legal product us. see drug war ended. reasoning could applied breast milk people became addicts. view addiction simply person 's chemistry susceptible people. tell disagree entirely thesis although like alcohol. us army 1969 1971/california jd,a gateway drug,NEUTRAL
people addicted marijuana three times likely addicted heroin. since thing addiction marijuana total nonsense. know people smoke 5 6 joints day every single day go without 4 week vacation overseas without missing bit. neither cigarette smokers heroin addicts. legalization marijuana increases availability drug acceptability use. problem availability marijuana without legalization. anyone wants get within 2 hours right nyc,a gateway drug,NEUTRAL
better question though many people used marijuana use illegal drugs. think answer would surprise. correlation causation sooner learn sooner get real root opiate addition problem,a gateway drug,NEUTRAL
people addicted marijuana three times likely addicted heroin. since thing addiction marijuana total nonsense. know people smoke 5 6 joints day every single day go without 4 week vacation overseas without missing bit. neither cigarette smokers heroin addicts. legalization marijuana increases availability drug acceptability use. problem availability marijuana without legalization. anyone wants get within 2 hours right nyc,a gateway drug,NEUTRAL
people addicted marijuana three times likely addicted heroin. since thing addiction marijuana total nonsense. know people smoke 5 6 joints day every single day go without 4 week vacation overseas without missing bit. neither cigarette smokers heroin addicts. legalization marijuana increases availability drug acceptability use. problem availability marijuana without legalization. anyone wants get within 2 hours right nyc,a gateway drug,AGAINST
better question though many people used marijuana use illegal drugs. think answer would surprise. correlation causation sooner learn sooner get real root opiate addition problem,a gateway drug,NEUTRAL
waste time article nyt. expect better facts causation analysis correlation analysis logic. would imagine heroin addicts drank water time becoming heron addicts. high correlation let 's outlaw water,a gateway drug,FAVOR
"wikipedia perhaps authoritative reference still reflection dr. dupont 's credentials claims marijuana dangerous drug"",[11 claim odds current scientific consensus. 12 served paid consultant straight incorporated controversial non profit drug rehabilitation program youth subject numerous allegations abuse successfully sued false imprisonment maltreatment considering position drug czar presidents nixon ford difficult infer biases may originated. agree others posted subscribe belief drug abuse product addictive personality finds medication produces pleasure and/or relief overwhelm concerns dependence",a gateway drug,NEUTRAL
marijuana gateway drug frequent use pizza delivery steady consumption fritos ben jerry 's junk food. 's. smoked fair amount weed early 20 's desire naturally tapered became involved professional pursuits. 'm retired probably would n't buy even could pick produce section local grocery store. frequent use pizza delivery fritos ben jerry's ... n't need help gaining weight sitting around rear end thank. want know 's gateway drug opioid abuse. combination poverty hopelessness lack education,a gateway drug,FAVOR
"wikipedia perhaps authoritative reference still reflection dr. dupont 's credentials claims marijuana dangerous drug"",[11 claim odds current scientific consensus. 12 served paid consultant straight incorporated controversial non profit drug rehabilitation program youth subject numerous allegations abuse successfully sued false imprisonment maltreatment considering position drug czar presidents nixon ford difficult infer biases may originated. agree others posted subscribe belief drug abuse product addictive personality finds medication produces pleasure and/or relief overwhelm concerns dependence",a gateway drug,NEUTRAL
classic bayesian inference error. b equivalent b a.. worked johnny cochran oj simpson trial correctly argued percentage verified wife beaters go murder wives small also ignored fact percentage verified wife beaters whose wives murdered guilty approaches 100,a gateway drug,FAVOR
classic bayesian inference error. b equivalent b a.. worked johnny cochran oj simpson trial correctly argued percentage verified wife beaters go murder wives small also ignored fact percentage verified wife beaters whose wives murdered guilty approaches 100,a gateway drug,FAVOR
mr. dupont focuses wrong gateway. accessing marijuana black market provides gateway illegal drugs market. washington state legal marijuana stores like stores sell alcohol find heroin cocaine methamphetamine next shelf. also marijuana use pervasive washington state well legalized arrest incarceration criminal records destroyed lives futures far people especially young black hispanic men smoking bit weed. reason marijuana legalized simply impossible impractical continue ineffective expensive prohibition. practical solution aimed harm reduction closing gateway illegal drugs,a gateway drug,FAVOR
mr. dupont focuses wrong gateway. accessing marijuana black market provides gateway illegal drugs market. washington state legal marijuana stores like stores sell alcohol find heroin cocaine methamphetamine next shelf. also marijuana use pervasive washington state well legalized arrest incarceration criminal records destroyed lives futures far people especially young black hispanic men smoking bit weed. reason marijuana legalized simply impossible impractical continue ineffective expensive prohibition. practical solution aimed harm reduction closing gateway illegal drugs,a gateway drug,FAVOR
du pont 's statements pure poppycock. causation correlation fact people buy marijuana dealer -- also sells drugs. genetic disposition correlation. guy get new york times panel,a gateway drug,FAVOR
discussions like largely moot. early states recreational market surfaced working solve various relatively minor social consequences full legalization nationally social acceptance fully legalized marijuana increasing annually. liberal trends past several decades outcome clear eventual full legalization states. drag federal drug banking policy sustained conservative congressional sentiment. another decade laissez aller executive orders democratic administration make clear everyone little fear marijuana psychotropic -- problem marijuana illegal product eliminated,a gateway drug,FAVOR
cognitive bias displayed mr. dupont disappointing one know better. focusing drug context oversimplifies issue. drug war actively discourage marijuana well drugs caused much harm benefit. corrupted police forces brutalized neighborhoods. portugal decriminalized drugs addiction rates gone way. gateway effect marijuana dealers criminals access criminal enterprises. change law put unaccountable criminals business. conflate childhood exposure decriminalization backward. long criminals dealers gateway dangerous drugs remain accessible age groups,a gateway drug,FAVOR
cognitive bias displayed mr. dupont disappointing one know better. focusing drug context oversimplifies issue. drug war actively discourage marijuana well drugs caused much harm benefit. corrupted police forces brutalized neighborhoods. portugal decriminalized drugs addiction rates gone way. gateway effect marijuana dealers criminals access criminal enterprises. change law put unaccountable criminals business. conflate childhood exposure decriminalization backward. long criminals dealers gateway dangerous drugs remain accessible age groups,a gateway drug,FAVOR
smoked martijuana adult life never desire try another drug. drink smoke cigarettes. none people know one smoke joint inclination toward using harder drugs. 've never tried pot brownies perhaps 'd like better smoking good lungs. sense people use hard drugs predisposed use pushed along toking pipe mary jane. feel strongly commentaries written people positions affecting laws mislead turn much harm good,a gateway drug,NEUTRAL
smoked martijuana adult life never desire try another drug. drink smoke cigarettes. none people know one smoke joint inclination toward using harder drugs. 've never tried pot brownies perhaps 'd like better smoking good lungs. sense people use hard drugs predisposed use pushed along toking pipe mary jane. feel strongly commentaries written people positions affecting laws mislead turn much harm good,a gateway drug,NEUTRAL
smoked martijuana adult life never desire try another drug. drink smoke cigarettes. none people know one smoke joint inclination toward using harder drugs. 've never tried pot brownies perhaps 'd like better smoking good lungs. sense people use hard drugs predisposed use pushed along toking pipe mary jane. feel strongly commentaries written people positions affecting laws mislead turn much harm good,a gateway drug,NEUTRAL
smoked martijuana adult life never desire try another drug. drink smoke cigarettes. none people know one smoke joint inclination toward using harder drugs. 've never tried pot brownies perhaps 'd like better smoking good lungs. sense people use hard drugs predisposed use pushed along toking pipe mary jane. feel strongly commentaries written people positions affecting laws mislead turn much harm good,a gateway drug,AGAINST
